ID,Mission,Type,Subtype,Weight (g),Weight (kg),Pristine (%),,Mission,Sample weight (kg),Weight diff,Lunar module (LM),LM mass (kg),LM mass diff,Command Module (CM),CM mass (kg),CM mass diff
10001,Apollo11,Soil,Unsieved,125.8,0.1258,88.36,,Apollo11,21.55424,0,Eagle (LM-5),15103,0,Columbia (CSM-107),5557,0
10002,Apollo11,Soil,Unsieved,5629,5.629,93.73,,APollo12,34.34238,12.78814,Intrepid (LM-6),15235,132,Yankee Clipper (CSM-108),5609,52
10003,Apollo11,Basalt,Ilmenite,213,0.213,65.56,,Apollo14,41.83363,7.49125,Antares (LM-8),15264,29,Kitty Hawk (CSM-110),5758,149
10004,Apollo11,Core,Unsieved,44.8,0.0448,71.76,,Apollo15,75.3991,33.56547,Falcon (LM-10),16430,1166,Endeavor (CSM-112),5875,117
10005,Apollo11,Core,Unsieved,53.4,0.0534,40.31,,Apollo16,92.46262,17.06352,Orion (LM-11),16445,15,Casper (CSM-113),5840,-35
10008,Apollo11,Soil,Unsieved,89,0.089,5.75,,Apollo17,109.44402,16.9814,Challenger (LM-12),16456,11,America (CSM-114),5960,120
10009,Apollo11,Breccia,Regolith,112,0.112,97.27,,,,,,,,,,
10010,Apollo11,Soil,Unsieved,491,0.491,91.03,,,,,,,,,,
10011,Apollo11,Soil,Unsieved,82.6,0.0826,62.01,,,,,,,,,,
10014,Apollo11,Soil,Unsieved,50,0.05,0,,,,,,,,,,
10015,Apollo11,Soil,Unsieved,0.4,0.0004,35.44,,,,,,,,,,
10017,Apollo11,Basalt,Ilmenite,973,0.973,43.71,,,,,,,,,,
10018,Apollo11,Breccia,Regolith,213,0.213,97.71,,,,,,,,,,
10019,Apollo11,Breccia,Regolith,297,0.297,81.55,,,,,,,,,,
10020,Apollo11,Basalt,Ilmenite,425,0.425,27.88,,,,,,,,,,
10021,Apollo11,Breccia,Regolith,250,0.25,30.21,,,,,,,,,,
10022,Apollo11,Basalt,Ilmenite,95.59,0.09559,42.19,,,,,,,,,,
10023,Apollo11,Breccia,Regolith,66,0.066,29.15,,,,,,,,,,
10024,Apollo11,Basalt,Ilmenite,68.12,0.06812,40.06,,,,,,,,,,
10025,Apollo11,Breccia,Regolith,8.59,0.00859,0,,,,,,,,,,
10026,Apollo11,Breccia,Regolith,9.25,0.00925,0,,,,,,,,,,
10027,Apollo11,Breccia,Regolith,8.87,0.00887,0,,,,,,,,,,
10028,Apollo11,Breccia,Regolith,3.53,0.00353,85.89,,,,,,,,,,
10029,Apollo11,Basalt,Ilmenite,5.53,0.00553,0,,,,,,,,,,
10030,Apollo11,Breccia,Regolith,1.81,0.00181,96.69,,,,,,,,,,
10031,Apollo11,Basalt,Ilmenite,2.7,0.0027,90.74,,,,,,,,,,
10032,Apollo11,Basalt,Ilmenite,3.13,0.00313,0,,,,,,,,,,
10033,Apollo11,Soil,Unsieved,1.12,0.00112,0,,,,,,,,,,
10044,Apollo11,Basalt,Cristobalite,247.5,0.2475,50.43,,,,,,,,,,
10045,Apollo11,Basalt,Olivine,185,0.185,12.13,,,,,,,,,,
10046,Apollo11,Breccia,Regolith,663,0.663,65.6,,,,,,,,,,
10047,Apollo11,Basalt,Ilmenite,138,0.138,33.49,,,,,,,,,,
10048,Apollo11,Breccia,Regolith,579,0.579,63.97,,,,,,,,,,
10049,Apollo11,Basalt,Ilmenite,193,0.193,70.13,,,,,,,,,,
10050,Apollo11,Basalt,Ilmenite,114.5,0.1145,49.05,,,,,,,,,,
10054,Apollo11,Soil,Unsieved,0,0,0,,,,,,,,,,
10056,Apollo11,Breccia,Regolith,185.04,0.18504,95.85,,,,,,,,,,
10057,Apollo11,Basalt,Ilmenite,919,0.919,35.15,,,,,,,,,,
10058,Apollo11,Basalt,Ilmenite,282,0.282,87.95,,,,,,,,,,
10059,Apollo11,Breccia,Regolith,188,0.188,36.94,,,,,,,,,,
10060,Apollo11,Breccia,Regolith,722,0.722,82.76,,,,,,,,,,
10061,Apollo11,Breccia,Regolith,346,0.346,68.67,,,,,,,,,,
10062,Apollo11,Basalt,Ilmenite,78.5,0.0785,35.07,,,,,,,,,,
10063,Apollo11,Breccia,Regolith,148,0.148,92.6,,,,,,,,,,
10064,Apollo11,Breccia,Regolith,65,0.065,75.6,,,,,,,,,,
10065,Apollo11,Breccia,Regolith,347,0.347,66.47,,,,,,,,,,
10066,Apollo11,Breccia,Regolith,40,0.04,93.05,,,,,,,,,,
10067,Apollo11,Breccia,Regolith,69.3,0.0693,68.92,,,,,,,,,,
10068,Apollo11,Breccia,Regolith,218,0.218,67.23,,,,,,,,,,
10069,Apollo11,Basalt,Ilmenite,119.5,0.1195,61.09,,,,,,,,,,
10070,Apollo11,Breccia,Regolith,60.16,0.06016,112.5,,,,,,,,,,
10071,Apollo11,Basalt,Ilmenite,189.5,0.1895,68.02,,,,,,,,,,
10072,Apollo11,Basalt,Ilmenite,447,0.447,15.22,,,,,,,,,,
10073,Apollo11,Breccia,Regolith,124.5,0.1245,64.25,,,,,,,,,,
10074,Apollo11,Breccia,Regolith,55.5,0.0555,99.12,,,,,,,,,,
10075,Apollo11,Breccia,Regolith,53,0.053,67.66,,,,,,,,,,
10082,Apollo11,Breccia,Regolith,50.5,0.0505,93.11,,,,,,,,,,
10084,Apollo11,Soil,Unsieved,3830,3.83,60.08,,,,,,,,,,
10085,Apollo11,Soil,Unsieved,569,0.569,52.97,,,,,,,,,,
10086,Apollo11,Soil,Unsieved,823,0.823,0.01,,,,,,,,,,
10087,Apollo11,Soil,Unsieved,17.4,0.0174,4.6,,,,,,,,,,
10089,Apollo11,Soil,Unsieved,50,0.05,0,,,,,,,,,,
10090,Apollo11,Soil,Unsieved,12,0.012,0,,,,,,,,,,
10091,Apollo11,Breccia,Regolith,0,0,0,,,,,,,,,,
